Object,a (AU),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),ref,class,Object
(2012 AD3),2.19751429,0.605658028,5.219582,216.0408145,149.8347763,0.8666,3.53,3.26,19.7,0.024394,16,APO*,(2012 AD3)
(2012 AA11),1.97807895,0.48464265,6.409299,145.7559912,21.2761226,1.0194,2.94,2.78,20.1,0.049843,75,AMO*,(2012 AA11)
(2012 BN11),1.45702764,0.394731446,4.3598402,69.6576624,153.8017878,0.8819,2.03,1.76,20.7,0.021092,29,APO*,(2012 BN11)
(2012 BS23),1.93559994,0.579203426,5.3858039,258.8108424,317.8581176,0.8145,3.06,2.69,21.4,0.030945,14,APO*,(2012 BS23)
(2012 BT23),1.97535056,0.600436847,9.1060259,43.2459588,182.332667,0.7893,3.16,2.78,19,0.049247,52,APO*,(2012 BT23)
(2012 BU61),2.52125285,0.779684664,5.2549452,72.8411542,297.4098282,0.5555,4.49,4,21.5,0.027081,15,APO*,(2012 BU61)
(2012 BJ86),1.98012875,0.63851005,1.3384838,99.4040995,302.4025765,0.7158,3.24,2.79,21.3,0.003279,21,APO*,(2012 BJ86)
(2012 BM86),2.14962531,0.633490862,11.4000904,56.2812801,164.1884701,0.7879,3.51,3.15,21.8,0.017121,17,APO*,(2012 BM86)
(2012 BB124),1.15495744,0.211062336,15.788664,122.7470279,137.685585,0.9112,1.4,1.24,21.2,0.018954,22,APO*,(2012 BB124)
(2012 CA21),2.65176218,0.659384435,28.872264,35.5814562,128.1462701,0.9032,4.4,4.32,19.1,0.008016,28,APO*,(2012 CA21)
(2012 CA55),1.80155449,0.478911764,8.6423138,41.3610105,175.9513067,0.9388,2.66,2.42,21.9,0.014005,24,APO*,(2012 CA55)
(2012 DE31),1.1502951,0.372819227,29.6920834,262.1757367,141.6701706,0.7214,1.58,1.23,21.9,0.044475,5,APO*,(2012 DE31)
(2012 DK31),0.69370863,0.576564367,11.1677445,149.20418,165.2856777,0.2937,1.09,0.58,21.8,0.025354,15,ATE*,(2012 DK31)
(2012 DJ61),0.91767913,0.515331135,53.6304301,311.9500587,346.2811131,0.4448,1.39,0.88,19.9,0.028609,18,ATE*,(2012 DJ61)
(2012 EY11),1.14832442,0.150734891,9.0212467,238.8689101,167.6183175,0.9752,1.32,1.23,21.9,0.029477,14,APO*,(2012 EY11)
(2012 FQ1),2.60613306,0.615808324,5.1705726,169.2678042,98.2883675,1.0013,4.21,4.21,19.3,0.006123,23,APO*,(2012 FQ1)
(2012 FR1),2.17606414,0.711964027,13.3036634,86.236457,355.4792274,0.6268,3.73,3.21,19.1,0.006998,19,APO*,(2012 FR1)
(2012 FG58),2.1481549,0.546224321,13.5171222,220.4837071,32.8664706,0.9748,3.32,3.15,22,0.04052,19,APO*,(2012 FG58)
(2012 FO62),2.01451624,0.515871782,3.9800561,212.7866991,258.5350276,0.9753,3.05,2.86,20.2,0.019444,22,APO*,(2012 FO62)
(2012 GV17),1.64166388,0.459023783,11.0416706,311.8087727,6.7971521,0.8881,2.4,2.1,21.1,0.004706,25,APO*,(2012 GV17)
(2012 HJ1),2.00269313,0.606920319,31.2825654,291.1944369,44.6984788,0.7872,3.22,2.83,17.9,0.034741,56,APO*,(2012 HJ1)
(2012 HG8),2.45594964,0.728812549,25.6219692,256.6727812,214.7196547,0.666,4.25,3.85,19.7,0.004034,52,APO*,(2012 HG8)
(2012 HG31),2.17227769,0.532559118,10.2425619,173.091987,148.3101041,1.0154,3.33,3.2,18.9,0.007017,93,APO*,(2012 HG31)
(2012 HZ33),1.19744951,0.210262184,23.876921,231.5699013,54.9216699,0.9457,1.45,1.31,20.4,0.001247,27,APO*,(2012 HZ33)
(2012 KA4),1.10033077,0.779858268,5.8085812,237.3827348,215.0036932,0.2422,1.96,1.15,21.1,0.025761,20,APO*,(2012 KA4)
(2012 KC6),1.2408566,0.246474634,11.3197804,337.958398,195.4075638,0.935,1.55,1.38,21.7,0.049184,37,APO*,(2012 KC6)
(2012 KU12),1.63752089,0.488445216,8.6228032,74.1954282,53.1992385,0.8377,2.44,2.1,21.6,0.04007,8,APO*,(2012 KU12)
(2012 LR1),1.33664768,0.381348141,42.3239714,66.5761256,83.121354,0.8269,1.85,1.55,20.5,0.007464,26,APO*,(2012 LR1)
(2012 LZ1),2.55789621,0.589861979,26.1019721,14.2608051,264.5102546,1.0491,4.07,4.09,19.9,0.044769,50,AMO*,(2012 LZ1)
(2012 LK9),2.50968181,0.620865633,10.1403067,314.5556068,61.8968609,0.9515,4.07,3.98,17.8,0.045544,30,APO*,(2012 LK9)
(2012 LK11),2.42701195,0.59329858,5.1507102,159.9428176,152.2126371,0.9871,3.87,3.78,20.3,3.2E-05,19,APO*,(2012 LK11)
(2012 MU2),2.05513768,0.514011828,11.2206354,16.5791101,250.3308323,0.9988,3.11,2.95,20.8,0.000584,53,APO*,(2012 MU2)
(2012 MS4),2.26390612,0.720518023,67.6761103,257.6440552,265.8680288,0.6327,3.9,3.41,18.7,0.033827,24,APO*,(2012 MS4)
(2012 MJ6),1.82330612,0.49013546,9.2193546,127.077444,82.3594819,0.9296,2.72,2.46,21,0.026755,11,APO*,(2012 MJ6)
(2012 MZ6),2.14314127,0.712376433,1.3589018,225.054798,317.1858459,0.6164,3.67,3.14,21.5,0.014674,11,APO*,(2012 MZ6)
(2012 MM11),2.11354777,0.648504419,3.1627198,123.6995934,245.876858,0.7429,3.48,3.07,20.3,0.010809,52,APO*,(2012 MM11)
(2012 NN),2.57720195,0.62689224,4.6266959,6.2972578,237.5504839,0.9616,4.19,4.14,20.9,0.027563,31,APO*,(2012 NN)
(2012 OO),1.69643529,0.383598314,4.8351798,179.8887963,160.9210393,1.0457,2.35,2.21,20.6,0.03778,63,AMO*,(2012 OO)
(2012 OQ),1.1906669,0.395022309,7.0975896,100.6214054,294.1210462,0.7203,1.66,1.3,21.9,0.015119,28,APO*,(2012 OQ)
(2012 OD1),0.82886439,0.502545274,42.2733938,224.3739539,303.7515999,0.4123,1.25,0.75,18.6,0.037512,74,ATE*,(2012 OD1)
(2012 OP4),2.11877866,0.657563516,20.6474324,262.6591605,143.7564948,0.7255,3.51,3.08,20,0.049986,29,APO*,(2012 OP4)
(2012 PS4),1.76747399,0.592680291,3.9374729,144.1503557,86.2475002,0.7199,2.82,2.35,21.2,0.04579,10,APO*,(2012 PS4)
(2012 PP28),1.99074042,0.606316499,5.6621312,133.5422269,254.1495374,0.7837,3.2,2.81,19.3,0.025986,30,APO*,(2012 PP28)
(2012 QQ10),1.9345816,0.468127253,3.9618334,227.9062825,65.5762788,1.029,2.84,2.69,20.8,0.045531,17,AMO*,(2012 QQ10)
(2012 QG42),1.02584659,0.374430879,6.8131687,116.104531,344.8902865,0.6417,1.41,1.04,20.9,0.014048,55,APO*,(2012 QG42)
(2012 QE50),1.73284432,0.440817831,11.91069,224.7472378,193.9896868,0.969,2.5,2.28,18.9,0.045877,65,APO*,(2012 QE50)
(2012 RG15),1.0766469,0.453369806,48.9230192,247.1934269,336.6423422,0.5885,1.56,1.12,19.8,0.023817,9,APO*,(2012 RG15)
(2012 SW20),2.45984251,0.678831686,10.1708322,62.2569868,209.6678989,0.79,4.13,3.86,19.7,0.001141,30,APO*,(2012 SW20)
(2012 SD22),1.96427909,0.572333532,7.8842464,313.4330421,140.4840686,0.8401,3.09,2.75,20.1,0.016052,25,APO*,(2012 SD22)
(2012 TY52),1.66379418,0.552813313,9.6374021,252.6700043,221.7495647,0.744,2.58,2.15,21.4,0.00039,24,APO*,(2012 TY52)
(2012 TF53),1.42601665,0.368852723,6.1286671,282.3113338,201.1197685,0.9,1.95,1.7,21.2,0.046328,35,APO*,(2012 TF53)
(2012 TV78),1.81539939,0.549271304,7.479692,244.5971967,252.0469559,0.8183,2.81,2.45,19.4,0.013082,33,APO*,(2012 TV78)
(2012 TO139),2.43893603,0.888595676,5.3709858,56.1642378,179.3322105,0.2717,4.61,3.81,19.7,0.000812,14,APO*,(2012 TO139)
(2012 TP139),1.46762164,0.464648415,2.3411075,3.2772513,271.8341646,0.7857,2.15,1.78,20.3,0.037989,20,APO*,(2012 TP139)
(2012 UZ33),2.22837387,0.580565465,3.3563309,224.7607955,85.9230268,0.9347,3.52,3.33,19.2,0.006308,22,APO*,(2012 UZ33)
(2012 UR136),1.91702286,0.460125486,6.0616172,202.7548396,87.5403104,1.035,2.8,2.65,19.2,0.032926,21,AMO*,(2012 UR136)
(2012 UU136),1.15994582,0.211836191,35.5915413,227.7509287,36.1037367,0.9142,1.41,1.25,21.3,0.035422,11,APO*,(2012 UU136)
(2012 UR138),1.96734005,0.542499225,7.7738316,48.9943527,255.9595363,0.9001,3.03,2.76,21.3,0.003776,14,APO*,(2012 UR138)
(2012 UR158),2.23853088,0.855396323,3.2209593,238.0777373,287.7480807,0.3237,4.15,3.35,20.7,0.003369,18,APO*,(2012 UR158)
(2012 VK6),2.30959141,0.702602118,1.8301923,339.5047857,290.8866406,0.6869,3.93,3.51,20.1,0.026647,8,APO*,(2012 VK6)
(2012 VL6),2.34202572,0.56716855,8.8096617,18.6253784,19.7744677,1.0137,3.67,3.58,20.8,0.031761,21,APO*,(2012 VL6)
(2012 VO6),1.96589516,0.534813708,3.5716215,243.6522518,242.6189818,0.9145,3.02,2.76,21.4,0.0268,29,APO*,(2012 VO6)
(2012 VF37),2.45865134,0.653686764,4.9082288,58.684511,82.5566503,0.8515,4.07,3.86,21,0.014335,40,APO*,(2012 VF37)
(2012 VE46),0.71303201,0.361444821,6.6665117,190.4196664,8.9327189,0.4553,0.97,0.6,20.2,0.031333,25,IEO*,(2012 VE46)
(2012 VO76),1.20467469,0.215271511,36.9491833,297.4039087,229.4936248,0.9453,1.46,1.32,21.1,0.034321,22,APO*,(2012 VO76)
(2012 VC82),2.37697526,0.583617981,10.877498,28.8824892,355.6397533,0.9897,3.76,3.66,20.2,0.025721,16,APO*,(2012 VC82)
(2012 XY6),2.0081062,0.49132281,7.7897406,173.3000778,348.4016627,1.0215,2.99,2.85,19.1,0.030555,50,AMO*,(2012 XY6)
(2012 XO111),2.00405128,0.499073347,4.2824781,189.8205104,328.1463682,1.0039,3,2.84,21.2,0.017097,21,APO*,(2012 XO111)
(2012 XA133),1.32811464,0.697633245,4.0510671,77.8230476,225.724544,0.4016,2.25,1.53,20.9,0.016959,15,APO*,(2012 XA133)
(2012 XF133),1.51314019,0.412856932,8.024507,71.5582213,285.9506614,0.8884,2.14,1.86,22,0.0365,9,APO*,(2012 XF133)
(2012 XJ134),2.56568341,0.737899946,2.4641285,124.3466648,237.1744342,0.6725,4.46,4.11,21.5,0.014175,16,APO*,(2012 XJ134)
(2012 YO1),1.82467003,0.490738297,17.4621799,312.6491888,85.8617315,0.9292,2.72,2.46,21.3,0.041809,18,APO*,(2012 YO1)
(2012 YQ1),1.99606563,0.564428179,5.1539806,42.1075583,120.1706788,0.8694,3.12,2.82,21,0.007572,16,APO*,(2012 YQ1)
(2012 YO3),2.43565925,0.674912997,3.6145981,351.3919455,30.9892972,0.7918,4.08,3.8,21.2,0.047473,16,APO*,(2012 YO3)
(2012 YY6),1.52503087,0.681413534,4.0299256,317.7460418,22.6464765,0.4859,2.56,1.88,21.3,0.036972,16,APO*,(2012 YY6)
(2013 AN20),1.46464254,0.304851779,23.0690604,355.7807926,105.3728429,1.0181,1.91,1.77,21.8,0.035768,14,AMO*,(2013 AN20)
(2013 AS27),1.10474773,0.228471275,33.5888135,253.4596557,105.2368206,0.8523,1.36,1.16,21.4,0.030944,24,APO*,(2013 AS27)
(2013 AX52),1.19804832,0.121968037,32.6000826,356.6010412,289.1309569,1.0519,1.34,1.31,20.1,0.036155,16,AMO*,(2013 AX52)
(2013 AN60),1.89418151,0.582268516,6.9442641,125.6302323,248.5751553,0.7913,3,2.61,21.9,0.015462,9,APO*,(2013 AN60)
(2013 BC18),2.7527135,0.770628005,24.8170496,262.258303,286.2189513,0.6314,4.87,4.57,19,0.015402,23,APO*,(2013 BC18)
(2013 BD18),2.33789675,0.662448166,17.3852836,250.8548222,285.8825867,0.7892,3.89,3.57,21.3,0.047718,5,APO*,(2013 BD18)
(2013 BK18),1.62640187,0.494559896,28.8950565,64.6118878,137.7600097,0.822,2.43,2.07,19.5,0.021695,48,APO*,(2013 BK18)
(2013 BE19),0.9114217,0.29741208,31.0045763,311.9565186,309.2845831,0.6404,1.18,0.87,19.8,0.045286,27,ATE*,(2013 BE19)
(2013 BO76),1.70294162,0.519860923,1.9393364,4.4297683,242.6450108,0.8176,2.59,2.22,20.4,0.028373,50,APO*,(2013 BO76)
(2013 BW76),2.05851753,0.533143559,40.3513,0.5218376,58.2473706,0.961,3.16,2.95,18.4,0.026197,19,APO*,(2013 BW76)
(2013 CW32),0.90457478,0.378569809,26.0535379,228.8524072,132.1157714,0.5621,1.25,0.86,21.9,0.035094,12,ATE*,(2013 CW32)
(2013 CU83),1.28365526,0.18213243,10.3500483,18.5683855,303.4338575,1.0499,1.52,1.45,21.4,0.042438,17,AMO*,(2013 CU83)
(2013 EM20),1.37173399,0.318247755,8.3589034,350.0446564,73.9625813,0.9352,1.81,1.61,19.8,0.042298,26,APO*,(2013 EM20)
(2013 EW27),2.45717976,0.594727521,24.1882396,205.7025438,302.2044217,0.9958,3.92,3.85,17.9,0.04615,39,APO*,(2013 EW27)
(2013 ED28),1.5494834,0.666464544,4.8841176,258.345739,153.1059227,0.5168,2.58,1.93,21.5,0.000675,19,APO*,(2013 ED28)
(2013 ER89),1.69490296,0.535785652,26.9818589,283.6076787,0.9898843,0.7868,2.6,2.21,20.2,0.048708,26,APO*,(2013 ER89)
(2013 EV108),2.39744415,0.634078002,8.4194229,215.1866435,33.3808033,0.8773,3.92,3.71,20.7,0.02807,40,APO*,(2013 EV108)
(2013 EO126),2.2974283,0.781817314,2.9779921,148.4431166,153.5152175,0.5013,4.09,3.48,19.9,0.040147,34,APO*,(2013 EO126)
(2013 FX7),1.26549564,0.309720994,5.2189008,28.8089482,211.5730938,0.8735,1.66,1.42,21.5,0.046068,18,APO*,(2013 FX7)
(2013 FA8),1.92831621,0.673857209,3.1090877,280.272521,166.0369942,0.6289,3.23,2.68,21,0.004891,21,APO*,(2013 FA8)
(2013 FW13),1.12027886,0.361881439,23.4136891,272.2857615,175.8553503,0.7149,1.53,1.19,21.7,0.011855,16,APO*,(2013 FW13)
(2013 GY7),1.24640803,0.230503717,29.5774003,128.5641352,189.9211327,0.9591,1.53,1.39,20.3,0.030484,29,APO*,(2013 GY7)
(2013 GR38),1.789916,0.556249498,4.588207,68.3440615,218.6964464,0.7943,2.79,2.39,21.8,0.003311,27,APO*,(2013 GR38)
(2013 GS66),2.01165979,0.582646263,2.4378413,272.8448813,204.715138,0.8396,3.18,2.85,21,0.022592,20,APO*,(2013 GS66)
(2013 GF69),1.96626971,0.498005327,10.0095296,153.1682012,174.9174856,0.9871,2.95,2.76,19.3,0.014409,32,APO*,(2013 GF69)
(2013 GG69),2.68775445,0.66975788,9.2500451,144.642251,183.2481798,0.8876,4.49,4.41,18.7,0.021058,29,APO*,(2013 GG69)
(2013 GZ73),2.37254857,0.616528658,7.3327181,340.2207206,116.8126186,0.9098,3.84,3.65,19.1,0.032439,15,APO*,(2013 GZ73)
(2013 GA80),1.17368952,0.153445126,32.182564,133.1257691,29.1269891,0.9936,1.35,1.27,21.5,0.032366,13,APO*,(2013 GA80)
(2013 GH84),1.56452362,0.37139116,14.9014383,186.3868129,53.3762397,0.9835,2.15,1.96,20.7,0.025053,15,APO*,(2013 GH84)
(2013 HT15),1.09999744,0.42274571,2.923157,315.6218455,23.6230963,0.635,1.57,1.15,21.8,0.026525,27,APO*,(2013 HT15)
(2013 JM7),1.2112688,0.273959705,4.9581822,154.7842745,242.5059348,0.8794,1.54,1.33,20.6,0.044409,13,APO*,(2013 JM7)
(2013 JN7),1.71940686,0.640259815,2.2557006,167.4037545,297.5947916,0.6185,2.82,2.25,20.9,0.038186,11,APO*,(2013 JN7)
(2013 JM14),1.89395558,0.510752122,8.1095636,44.3408925,109.5494043,0.9266,2.86,2.61,21.5,0.020837,17,APO*,(2013 JM14)
(2013 JL22),1.18722756,0.594252706,3.0647837,69.0007835,38.0351789,0.4817,1.89,1.29,21.3,0.002427,16,APO*,(2013 JL22)
(2013 JR28),2.20140339,0.654674962,6.5537107,230.5484654,103.5726651,0.7602,3.64,3.27,21.6,0.034962,30,APO*,(2013 JR28)
(2013 KZ1),1.56262799,0.506601563,29.1954003,104.7118938,236.0454574,0.771,2.35,1.95,21.5,0.030607,22,APO*,(2013 KZ1)
(2013 LE16),2.56571413,0.607252797,32.8223466,198.1061215,81.8038338,1.0077,4.12,4.11,18.5,0.011423,29,APO*,(2013 LE16)
(2013 LG16),1.60016353,0.407955783,11.1519352,209.4719107,232.8291219,0.9474,2.25,2.02,19.2,0.003323,19,APO*,(2013 LG16)
(2013 LM31),2.26577461,0.655010846,1.7495773,251.1761381,103.1773496,0.7817,3.75,3.41,20.2,0.003172,28,APO*,(2013 LM31)
(2013 LN31),2.25456005,0.80278788,23.1988806,278.5939166,101.0066744,0.4446,4.06,3.39,20,0.042671,24,APO*,(2013 LN31)
(2013 NJ),1.28603803,0.283696202,3.9394445,140.2952076,238.6146215,0.9212,1.65,1.46,21.9,0.00627,68,APO*,(2013 NJ)
(2013 NV),0.95845649,0.511044668,29.2907275,227.7993991,275.6214846,0.4686,1.45,0.94,20.2,0.039441,40,ATE*,(2013 NV)
(2013 NJ10),1.6132069,0.457289181,7.0394748,25.091689,90.7574291,0.8755,2.35,2.05,18.2,0.045765,10,APO*,(2013 NJ10)
(2013 NF19),1.66997294,0.695580986,27.3355139,262.8957398,283.4582289,0.5084,2.83,2.16,21.6,0.038269,10,APO*,(2013 NF19)
(2013 ND24),2.0471252,0.743885637,3.6275053,95.7912379,296.41812,0.5243,3.57,2.93,21.2,0.002166,6,APO*,(2013 ND24)
(2013 OD4),1.89566273,0.778388572,12.2346252,299.1124292,127.6310857,0.4201,3.37,2.61,21,0.034322,16,APO*,(2013 OD4)
(2013 PX6),2.59165089,0.653067816,13.6947916,229.5459289,187.5653295,0.8991,4.28,4.17,18.4,0.025837,45,APO*,(2013 PX6)
(2013 PV13),2.75139493,0.643984358,11.8829732,221.4134888,151.1750878,0.9795,4.52,4.56,20.7,0.048259,20,APO*,(2013 PV13)
(2013 QR1),1.95015216,0.736801938,45.6218296,279.3478954,151.6226025,0.5133,3.39,2.72,21.6,0.00181,18,APO*,(2013 QR1)
(2013 QU1),1.18402069,0.249476938,35.2407246,55.2144539,149.1572346,0.8886,1.48,1.29,21.3,0.015499,12,APO*,(2013 QU1)
(2013 QJ10),0.9595549,0.42525559,18.1486788,243.793303,327.4855219,0.5515,1.37,0.94,19.5,0.023727,72,ATE*,(2013 QJ10)
(2013 QC11),1.51104324,0.618926103,2.1443285,332.5528888,250.596678,0.5758,2.45,1.86,21.6,0.031092,18,APO*,(2013 QC11)
(2013 QK48),1.58601178,0.829490237,19.0212189,46.9737157,141.6076671,0.2704,2.9,2,18.4,0.027762,24,APO*,(2013 QK48)
(2013 RC32),2.47580744,0.632753058,3.0075556,2.5515205,46.7102155,0.9092,4.04,3.9,22.1,0.031358,9,APO,(2013 RC32)
(2013 RZ73),1.36856363,0.533879634,25.1238701,262.3092673,355.60128,0.6379,2.1,1.6,20.9,0.029215,20,APO*,(2013 RZ73)
(2013 RH74),2.28508444,0.593814957,5.5200483,226.7197473,201.0832997,0.9282,3.64,3.45,20.9,0.018697,49,APO*,(2013 RH74)
(2013 RJ74),2.80471207,0.725808033,22.3488721,123.5548789,349.24256,0.769,4.84,4.7,19.1,0.030758,27,APO*,(2013 RJ74)
(2013 SW24),2.67518715,0.65140382,6.1419314,323.7863064,347.2290703,0.9326,4.42,4.38,20.9,0.001307,28,APO*,(2013 SW24)
(2013 TR132),1.45034998,0.361661235,31.964215,330.0639194,35.4073279,0.9258,1.97,1.75,20.1,0.031409,15,APO*,(2013 TR132)
(2013 TE135),2.36334572,0.758215036,6.0508001,103.0037893,182.3387649,0.5714,4.16,3.63,19.9,0.022566,19,APO*,(2013 TE135)
(2013 TT135),2.14501319,0.600939372,6.4839805,327.2225903,341.470914,0.856,3.43,3.14,21.7,0.036084,17,APO*,(2013 TT135)
(2013 TV135),2.42560284,0.594109452,6.7451838,23.8391397,333.3691743,0.9845,3.87,3.78,19.5,0.004763,60,APO*,(2013 TV135)
(2013 US3),1.20015558,0.184572405,12.3144252,133.6236467,39.639868,0.9786,1.42,1.31,21,0.018965,29,APO*,(2013 US3)
(2013 UP8),2.53886891,0.617614803,47.7761004,187.2922427,55.1895168,0.9708,4.11,4.05,16.5,0.037001,27,APO*,(2013 UP8)
(2013 VO5),1.27968373,0.690652858,2.0178378,211.0738966,74.0084334,0.3959,2.16,1.45,21.3,0.017909,25,APO*,(2013 VO5)
(2013 VY13),1.73159114,0.514685316,5.5167276,87.046397,261.3033086,0.8404,2.62,2.28,21.2,0.042513,22,APO*,(2013 VY13)
(2013 WR43),1.41274769,0.366969865,5.903249,42.1253638,280.2304338,0.8943,1.93,1.68,21.8,0.023658,10,APO*,(2013 WR43)
(2013 WT44),2.25989283,0.568230121,12.2076259,325.835339,182.742948,0.9758,3.54,3.4,19.3,0.032863,70,APO*,(2013 WT44)
(2013 WT45),1.6298783,0.466993904,9.3385837,121.9674353,33.1169645,0.8687,2.39,2.08,20.3,0.007764,40,APO*,(2013 WT45)
(2013 WR67),2.55599762,0.715878883,4.9337663,74.8831499,263.5117017,0.7262,4.39,4.09,22,0.00505,13,APO*,(2013 WR67)
(2013 WF108),1.9935434,0.574413506,23.4449741,309.01688,239.030017,0.8484,3.14,2.81,20.3,0.023946,52,APO*,(2013 WF108)
(2013 XW3),1.73724191,0.480529282,4.6262164,284.2880577,70.5616676,0.9024,2.57,2.29,20.6,0.041215,16,APO*,(2013 XW3)
(2013 XN24),2.67146236,0.628724467,14.0116565,172.6496704,279.3719287,0.9918,4.35,4.37,19.3,0.011822,20,APO*,(2013 XN24)
(2013 YC),2.49623946,0.942762107,2.8024991,34.4884762,262.3559567,0.1429,4.85,3.94,21.3,0.004967,14,APO*,(2013 YC)
(2013 YP139),2.39838438,0.682987426,0.8170756,83.580353,292.1424751,0.7603,4.04,3.71,21.6,0.003989,9,APO*,(2013 YP139)
(2014 AY28),1.42537,0.282590635,5.7085996,22.6348213,169.6107375,1.0226,1.83,1.7,21.8,0.03645,61,AMO*,(2014 AY28)
(2014 AF51),1.78624287,0.429610707,2.7917163,330.0945496,237.7787402,1.0189,2.55,2.39,20.4,0.023692,30,AMO*,(2014 AF51)
(2014 BW2),1.88518466,0.477676903,16.5458565,26.462829,163.31451,0.9847,2.79,2.59,19.9,0.024122,46,APO*,(2014 BW2)
(2014 BX2),2.21432602,0.760916587,2.2450466,99.8814055,135.8799903,0.5294,3.9,3.3,21.9,0.003864,10,APO*,(2014 BX2)
(2014 CY4),2.65154359,0.819174711,15.0179451,289.2496376,126.7878291,0.4795,4.82,4.32,21.1,0.041942,19,APO*,(2014 CY4)
(2014 CD13),2.20570584,0.756330207,6.8825815,284.3542252,332.430786,0.5375,3.87,3.28,21.3,0.021885,13,APO*,(2014 CD13)
(2014 CU13),2.15209793,0.674511635,5.9475016,249.7109887,356.2392532,0.7005,3.6,3.16,21.9,0.008445,36,APO*,(2014 CU13)
(2014 DM22),1.80059832,0.55916688,42.1293223,112.7022669,119.9557348,0.7938,2.81,2.42,18.9,0.002279,17,APO*,(2014 DM22)
(2014 DN112),1.84957139,0.493773611,4.2946127,145.7577151,260.2936192,0.9363,2.76,2.52,20.1,0.003284,21,APO*,(2014 DN112)
(2014 EQ12),2.63587311,0.744210786,11.0164773,92.2826145,178.0342898,0.6742,4.6,4.28,21.1,0.034843,35,APO*,(2014 EQ12)
(2014 EG45),1.60839581,0.498196551,25.4998035,296.2035287,164.2453662,0.8071,2.41,2.04,21.9,0.000532,25,APO*,(2014 EG45)
(2014 EQ49),1.14793368,0.206757949,15.1773117,50.4974433,11.5347615,0.9106,1.39,1.23,21.8,0.025243,8,APO*,(2014 EQ49)
(2014 ER49),2.82248309,0.642671608,13.679085,160.0752662,100.2724888,1.0086,4.64,4.74,18.6,0.014502,61,APO*,(2014 ER49)
(2014 FO47),0.75216861,0.271088456,19.1978207,347.4616454,358.6593882,0.5483,0.96,0.65,20.3,0.046425,12,IEO*,(2014 FO47)
(2014 GG17),1.36702616,0.35230975,39.1567791,239.5395967,195.3106281,0.8854,1.85,1.6,20.2,0.016642,29,APO*,(2014 GG17)
(2014 GE35),1.89121798,0.520874945,19.1891902,231.9232688,223.5415532,0.9061,2.88,2.6,20.1,0.039286,15,APO*,(2014 GE35)
(2014 HE124),1.97015217,0.849640028,18.7743152,229.8190001,204.3287891,0.2962,3.64,2.77,21.7,0.043755,5,APO*,(2014 HE124)
(2014 HQ124),0.8508236,0.259182383,26.369853,144.4915862,257.5657782,0.6303,1.07,0.78,18.9,0.008079,43,ATE*,(2014 HQ124)
(2014 HK129),1.70498817,0.490460012,6.6869909,44.9923797,93.983078,0.8688,2.54,2.23,21.1,0.008745,17,APO*,(2014 HK129)
(2014 HV177),2.16889303,0.552148187,4.5803453,127.5887471,24.5349245,0.9713,3.37,3.19,21,0.03738,16,APO*,(2014 HV177)
(2014 HN197),1.64601159,0.445890435,4.5965162,155.2740579,257.29647,0.9121,2.38,2.11,21.1,0.019784,2,APO*,(2014 HN197)
(2014 JO25),2.06697461,0.885418371,25.2378836,49.5419653,30.6560222,0.2368,3.9,2.97,18.1,0.011579,21,APO*,(2014 JO25)
(2014 JS54),2.0690277,0.892061267,3.3484814,206.442121,235.1340441,0.2233,3.91,2.98,21.3,0.022996,5,APO*,(2014 JS54)
(2014 JV55),2.45607092,0.692560725,41.4422978,106.4259518,59.7791499,0.7551,4.16,3.85,20.1,0.043624,8,APO*,(2014 JV55)
(2014 KM4),2.81071061,0.674011659,5.1629478,10.1795976,143.8871546,0.9163,4.71,4.71,21.3,0.033475,11,APO*,(2014 KM4)
(2014 KP4),2.32504454,0.819502675,9.3293499,235.7930928,249.1844917,0.4197,4.23,3.55,19.3,0.047163,19,APO*,(2014 KP4)
(2014 KS40),2.29364906,0.537823499,2.9231517,4.642394,251.4100008,1.0601,3.53,3.47,21.9,0.045737,42,AMO*,(2014 KS40)
(2014 KZ45),1.52874176,0.40661897,13.7636013,231.4426086,121.6676251,0.9071,2.15,1.89,20.3,0.002052,39,APO*,(2014 KZ45)
(2014 KT76),2.48777983,0.699707435,4.4260754,298.3203595,208.1194571,0.7471,4.23,3.92,21,0.008407,12,APO*,(2014 KT76)
(2014 KP84),1.48862076,0.351154073,22.345619,29.3983778,56.2485448,0.9659,2.01,1.82,20.4,0.011145,7,APO*,(2014 KP84)
(2014 KV86),2.63552227,0.640213817,25.5693366,37.2770086,130.9911631,0.9482,4.32,4.28,20.3,0.038777,10,APO*,(2014 KV86)
(2014 KB91),2.33240707,0.576298114,4.9325708,127.0388678,201.9115063,0.9882,3.68,3.56,20.2,0.045081,26,APO*,(2014 KB91)
(2014 LJ21),2.89021061,0.895190793,24.2104578,302.6784722,126.7716779,0.3029,5.48,4.91,16,0.025777,25,APO*,(2014 LJ21)
(2014 MP5),2.16610874,0.521131725,9.7569539,183.0746762,133.4339115,1.0373,3.29,3.19,21.8,0.024281,28,AMO*,(2014 MP5)
(2014 MF6),2.44501635,0.613501892,4.3340998,234.6027455,89.9272425,0.945,3.95,3.82,20.7,0.024438,22,APO*,(2014 MF6)
(2014 MJ6),1.84157563,0.642625919,4.4898701,102.4218342,271.6408333,0.6581,3.03,2.5,21.6,0.004627,12,APO*,(2014 MJ6)
